Geometry,Freq (Hz),Range,Time Slot (s),channel,ISI,
VL,0.6,1,0.06,Rx0,0.0526371,
VL,0.6,1,0.06,Rx0,0.00737732,
VL,0.6,1,0.06,Rx0,0.00105674,
VL,0.6,1,0.06,Rx0,0.0052229,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.00839894,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.017013,
VL,0.6,1,0.06,Rx0,0.00321194,
VL,0.6,1,0.06,Rx0,0.0101738,
VL,0.6,1,0.06,Rx0,0.0149802,
VL,0.6,1,0.06,Rx0,0.00328764,
VL,0.6,1,0.06,Rx0,0.00110631,
VL,0.6,1,0.06,Rx0,0.0103392,
VL,0.6,1,0.06,Rx0,0.0615667,
VL,0.6,1,0.06,Rx0,0.00158792,
VL,0.6,1,0.06,Rx0,0.0114344,
VL,0.6,1,0.06,Rx0,0.00746629,
VL,0.6,1,0.06,Rx0,0.0123408,
VL,0.6,1,0.06,Rx0,0.00608583,
VL,0.6,1,0.06,Rx0,0.00286078,
VL,0.6,1,0.06,Rx0,0.00739886,
VL,0.6,1,0.06,Rx0,0.00490549,
VL,0.6,1,0.06,Rx0,0.0096236,
VL,0.6,1,0.06,Rx0,0.0213604,
VL,0.6,1,0.06,Rx0,0.00661757,
VL,0.6,1,0.06,Rx0,0.00448361,
VL,0.6,1,0.06,Rx0,0.0156175,
VL,0.6,1,0.06,Rx0,0.0955918,
VL,0.6,1,0.06,Rx0,0.00463014,
VL,0.6,1,0.06,Rx0,0.010903,
VL,0.6,1,0.06,Rx0,0.00114359,
VL,0.6,1,0.06,Rx0,0.00481503,
VL,0.6,1,0.06,Rx0,0.00732289,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.00612085,
VL,0.6,1,0.06,Rx0,0.00517929,
VL,0.6,1,0.06,Rx0,0.00749453,
VL,0.6,1,0.06,Rx0,0.0119949,
VL,0.6,1,0.06,Rx0,0.0125171,
VL,0.6,1,0.06,Rx0,0.0106384,
VL,0.6,1,0.06,Rx0,0.00644111,
VL,0.6,1,0.06,Rx0,0.00448941,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.0233385,
VL,0.6,1,0.06,Rx0,0.0173888,
VL,0.6,1,0.06,Rx0,0.0310274,
VL,0.6,1,0.06,Rx0,0.0048018,
VL,0.6,1,0.06,Rx0,0.0368352,
VL,0.6,1,0.06,Rx0,0.017959,
VL,0.6,1,0.06,Rx0,0.00256614,
VL,0.6,1,0.06,Rx0,0.0153195,
VL,0.6,1,0.06,Rx0,0.00742047,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.00153198,
VL,0.6,1,0.06,Rx0,0.00889362,
VL,0.6,1,0.06,Rx0,0.0123345,
VL,0.6,1,0.06,Rx0,0.0011251,
VL,0.6,1,0.06,Rx0,0.0387199,
VL,0.6,1,0.06,Rx0,0.00340017,
VL,0.6,1,0.06,Rx0,0.0158474,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.0104802,
VL,0.6,1,0.06,Rx0,0.00500236,
VL,0.6,1,0.06,Rx0,0.00511005,
VL,0.6,1,0.06,Rx0,0.00637341,
VL,0.6,1,0.06,Rx0,0.0124517,
VL,0.6,1,0.06,Rx0,0.0119265,
VL,0.6,1,0.06,Rx0,0.00415841,
VL,0.6,1,0.06,Rx0,0.00979637,
VL,0.6,1,0.06,Rx0,0.000904516,
VL,0.6,1,0.06,Rx0,0.00072834,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.00991574,
VL,0.6,1,0.06,Rx0,0.00689689,
VL,0.6,1,0.06,Rx0,0.017196,
VL,0.6,1,0.06,Rx0,0.0421898,
VL,0.6,1,0.06,Rx0,0.000168065,
VL,0.6,1,0.06,Rx0,0.0819834,
VL,0.6,1,0.06,Rx0,0.0643274,
VL,0.6,1,0.06,Rx0,0.00440807,
VL,0.6,1,0.06,Rx0,0.0308549,
VL,0.6,1,0.06,Rx0,0.0487622,
VL,0.6,1,0.06,Rx0,0.0150398,
VL,0.6,1,0.06,Rx0,0.00388382,
VL,0.6,1,0.06,Rx0,0.0451317,
VL,0.6,1,0.06,Rx0,0,
VL,0.6,1,0.06,Rx0,0.0110536,
VL,0.6,1,0.06,Rx0,0.00341597,
VL,0.6,1,0.06,Rx0,0.0151921,
VL,0.6,1,0.06,Rx0,0.0110726,
VL,0.6,1,0.06,Rx0,0.0070326,
VL,0.6,1,0.06,Rx0,0.000314113,
VL,0.6,1,0.06,Rx0,0.0117679,
VL,0.6,1,0.06,Rx0,0.0109392,
VL,0.6,1,0.06,Rx0,0.00296242,
VL,0.6,1,0.06,Rx0,0.00541209,
VL,0.6,1,0.06,Rx0,0.0109004,
VL,0.6,1,0.06,Rx0,0.0027584,
VL,0.6,1,0.06,Rx0,0.00769038,
VL,0.6,1,0.06,Rx0,0.00743258,
VL,0.6,1,0.06,Rx0,0.00293542,
VL,0.6,1,0.06,Rx0,0.00507478,
VL,0.6,1,0.06,Rx0,0.00422765,
VL,0.6,1,0.06,Rx0,0.0113129,
VL,0.6,1,0.06,Rx0,0.0066786,
VL,0.6,1,0.06,Rx0,0.00170639,
VL,0.6,1,0.06,Rx0,0.00145397,
VL,0.6,1,0.06,Rx0,0.00981881,
VL,0.6,1,0.06,Rx0,0.0251011,
VL,0.6,1,0.06,Rx0,0.0456903,
VL,0.6,1,0.06,Rx0,0.003532,
VL,0.6,1,0.06,Rx0,0.0252881,
VL,0.6,1,0.06,Rx0,0.00181569,
VL,0.6,1,0.06,Rx0,0.00166492,
VL,0.6,1,0.06,Rx0,0.00109607,
VL,0.6,1,0.06,Rx0,0.00197412,
VL,0.6,1,0.06,Rx0,0.0410919,
VL,0.6,1,0.06,Rx0,0.00858037,
VL,0.6,1,0.06,Rx0,0.00294905,
VL,0.6,1,0.06,Rx0,0.00915592,
VL,0.6,1,0.06,Rx0,0.000880459,
VL,0.6,1,0.06,Rx0,0.0050214,
VL,0.6,1,0.06,Rx0,0.0223212,
